,required_skills,job_title
9,"java, oss",software engineer
18,"c , c++, linux, unix",software engineer
27,pci,java developer
35,computer vision,software engineer
65,"access, analysis, analytical, analytical",java developer
78,"contract corp, to, corp, contract w2, full time",java developer
81,"big data, java",data scientist
82,"tad pgs, reliable",software engineer
86,analytical,java developer
95,"apache, business requirements, css, development, hadoop, html, http, java, javascript, jquery, linux, management, os x, scrum, security, solr, supervision, windows, windows 7",java developer
99,"h, cass",java developer
121,".net, ada, adobe, ajax, architecture, asp, asp.net, business intelligence, cms, content management, css, development, dhtml, html, java, javascript, jquery, management, mysql, mysql, oracle, php, sql, sql server",software engineer
124,contract w2,java developer
131,".net, access, analysis, application, applications, architecture, automated, business requirements, data analysis, database, development, erp, foundation, it, java, management, multi, threaded, oracle, peoplesoft, pl, sql, project management, scripts, security, sql, supply chain, supply chain management, systems, telecom, web, windows",java developer
141,"angularjs, nodejs",java developer
145,"tad pgs, reliable",data scientist
147,"algorithms, analysis, apache, case, css, data analysis, development, hadoop, html, http, java, management, matlab, nosql, python, sql, use case",data scientist
168,"css, database, hadoop, html, http, nosql",data scientist
183,"agile, development, http, java, scrum, sdlc",java developer
187,"agile, api, architecture, business requirements, data warehouse, development, genetic, hadoop, java, management, nosql",data scientist
188,"analysis, development, git, hadoop, http, linux, nosql, unix, version control",software engineer
197,"it, information technology, java, ooad, java ee, soap, rest",java developer
209,"crm, development, excel, html, http, lifecycle, sap, supply chain",data scientist
212,"cisco, forth, genetic, help desk, lan, management, routers, switches, wan",data scientist
216,"python, spark, apache spark, cass, ra, scala, hadoop , python, spark, apache spark, cass, ra, scala, hadoop",software engineer
218,core java,java developer
222,"java , roid",java developer
227,"linux, linux kernel, c++, python , linux, linux kernel, c++, python",software engineer
230,"java, spring framework, mssql, mysql, javascript, linux, git , github, php, java, spring framework, mssql, mysql, javascript, linux, git , github, php, junit",software engineer
238,"core java, struts, hibernate",java developer
254,"medical devices, threaded",software engineer
263,restful web services,java developer
267,"php, java, aws, relational databases, map reduce, java, aws, relational databases, map reduce",software engineer
278,"php, mysql, php, mysql, oop",software engineer
282,"java, javascript, aws, amazon web services, angular.js, scala",java developer
294,"pre, pre",software engineer
300,"analysis, architecture, business intelligence, data analysis, database, development, genetic, management, oracle, sas, sql, sql server, teradata, unix",software engineer
302,"ios, objective, c, rest apis",software engineer
303,"java, j2ee, jee, jsp, servlets, spring mvc, html, css, angular js, jquery, json , hibernate, jsf, sql, pl, sql",java developer
314,"c#, sql, javascript, agile, sql, javascript, agile",software engineer
326,"c#, asp.net mvc, javascript, ms, sql, e, web services, c#, asp.net mvc, javascript, ms, sql, e, web services, cms",software engineer
339,java,java developer
340,"javascript, python, ruby on rails, aws , javascript, python, ruby on rails, aws",software engineer
346,"asp.net, c++, c#, netsuite, sql, microsoft visual studio, linux , asp.net, c++, c#, netsuite, sql, microsoft visual studio, linux",software engineer
358,"sql, python, r, java , power bi, tableau, aws , database design, nosql",software engineer
381,"vb, .net , c#, sql server, architect, agile, wpf",software engineer
388,"java, j2ee, angular js, javascript, ajax, hibernate, sql , pl, sql",java developer
394,"c, c++, ooad, uml, soa",software engineer
405,"security, tcp, ip",data scientist
408,"full, stack, aws, java, javascript, apis",software engineer
411,"hibernate, soap",java developer
413,"c, c++, rtos",software engineer
416,"python, javascript, web development, data, p, as, flask, cloud, aws, redshift, s3, ec2",software engineer
420,"jira, sql",java developer
421,analytical,software engineer
422,"agile, broadb, development, ethernet, genetic, http, linux, management, protocols, video",software engineer
424,"java, web development",java developer
426,"autocad, broadb, erp, genetic, http, management, outlook, pc, project management, sap, supervision, ups, video",data scientist
431,"cognos, sql",data scientist
433,"java, xml, j2ee",java developer
437,"javascript, sql, mongodb, angular, angularjs, node.js, rest, api development, restful, api, web, full stack, backend, java, j2ee",java developer
438,"javascript, php, ruby",software engineer
453,"statistical analysis, mathematics, python, linux, bash, hadoop, computer science",data scientist
463,"java, rest , web services, jquery",java developer
466,"sas, python",data scientist
467,"java, j2ee, websphere, pl, sql",software engineer
473,"java, j2ee, hibernate, css, javascript",java developer
476,"java, struts, hibernate, webservices, soap, sql, oracle",java developer
488,"analysis, development, erp, excel, http, lawson, lifecycle, management, oracle, peoplesoft, powerpoint, sap, scripts",data scientist
501,"javascript, html, css, jquery",software engineer
502,"java, web services",java developer
503,"c, c++, java, uml, rtos, soa",software engineer
507,"c++, ui",software engineer
540,"c#, c++, wcf, java",software engineer
553,"big data, bi, business intelligence, computer science, hadoop, impala, spark, python, sql, cloud",software engineer
561,"agile, analysis, api, architecture, development, dom, git, http, java, javascript, mongodb, source code, specification, sql, uml, version control, xml",software engineer
572,"agile, algorithms, roid, api, development, git, ide, java, jenkins, library, mongodb, source code, subversion, windows",software engineer
579,"java , javascript",software engineer
582,"c++, visual studio, sql, unix",software engineer
598,".net, dot net, c#, wpf, java , sql, ci, cd, continuous integration, automation",software engineer
612,"java, jee, cass, ra, hive",software engineer
630,"hadoop, spark, scala, java, rest, unix, aws",software engineer
656,"agile, algorithms, roid, api, development, git, ios, jenkins, library, oop, source code, subversion, windows",software engineer
669,"user interface design, opengl, opengl, c++, 3, windows, algorithm",software engineer
670,"java, javascript, backbone, angular, knockout, rest, maven, junit, bi, etl, big data, mongodb",software engineer
674,"full time, full time",software engineer
677,"linux, unix",software engineer
681,"ruby, mvc, saas, tdd, git, javascript, rails, ruby on rails",software engineer
684,"xml, xslt, jdbc, junit, jquery, javascript, ajax, hibernate",java developer
690,core java,java developer
694,"c++, c#, development, device drivers, hardware, linux, management, mechanical, middleware, object oriented design, project management, windows",software engineer
703,"c#, net, entity framework, linq, sql server, tsql, rdbms",software engineer
722,"hibernate, web, performance, scalability, agile",software engineer
726,"angularjs, reactjs, backbonejs, java, python, git, full stack",software engineer
730,"odi, data integration, bi",data scientist
756,"java, j2ee, jsp, servlets, xml, xslt, scrum, agile, soa, apis",java developer
760,"java, api",java developer
764,"c, c++, qt, linux",software engineer
778,"agile, analysis, development, dom, java, javascript, oop, source code, version control, xml",software engineer
788,"development, salesforce, sql, sql server",software engineer
801,"hadoop, hive, sqoop, pig, impala, spark",software engineer
812,"java, linux, tomcat, restful apis, jsf, mvc",java developer
833,"asp.net, silverlight, c#, visual studio, ajax",software engineer
836,"health care, agile",data scientist
864,"java, rabbitmq, gui, hibernate, sql, tomcat, rest, agile",java developer
866,"web services, agile",software engineer
872,"java, j2ee",software engineer
895,sql,data scientist
901,"java, spring framework, api",java developer
922,hardware,software engineer
941,"c#, mvc",software engineer
953,sql server,software engineer
962,"continuous integration, test automation",software engineer
972,"architecture, microservices, aws",software engineer
974,"test automation, python, c++, java",software engineer
975,"etl, pl, sql",software engineer
1003,"development, hadoop, laptop, networks, python, release, sas, sql",data scientist
1009,"algorithms, analytical, analytical",java developer
