search_title,job_title,required_skills
Business+Intelligence+Developer,SQL Server Business Intelligence Developer,SSIS
Business+Intelligence+Developer,Business Intelligence Developer,"Business intelligence, Analytics, DQM, Data modeling, Data management, Microsoft Power BI, Microsoft SQL Server, Microsoft SSRS, Microsoft SSAS, Data warehouse, ETL, Microsoft SSIS, Reporting"
Business+Intelligence+Developer,Epic Business Intelligence Developer,"Acquisition, Agile, Analytics, Automation, BI architecture, Business intelligence, Business partnership, Computer science, Counseling, Cubes, Data QA, Data flow, Data governance, Data modeling, Documentation, Education, Energy, Epic, Health care, IT, IT management, Informatics, Insurance, Jersey, Leadership, Mobile, PCMH, Partnership, Performance improvement, Pharmacy, Product owner, QA, Reporting, SAP, SAP BASIS, Screening, Scrum, Software, Solution delivery, Specification, Spectrum, Supervision, Test plans, Training, Universe Designer"
Business+Intelligence+Developer,Business Intelligence Developer,"Business Intelligence, Developer, Web, Business Objects, IT, SAP, Teradata"
Business+Intelligence+Developer,The Senior Business Intelligence Developer,"Business Intelligence, Developer, PL/SQL, Python, Data Warehouse, Management, Oracle, SAP, Informatica, Business Objects, Quality, Validation"
Business+Intelligence+Developer,Sr. Business Intelligence Developer,"Business Intelligence, Data WareHouse, SQL, ETL, Microstrategy, MSSQL databases, SSIS, Informatica, Alteryx, Tableau, Qlik, PowerBI, MSTR"
Business+Intelligence+Developer,"Sr Business Intelligence Developer, EPIC Certified","Analytics, BSC, Business acumen, Business analysis, Business intelligence, Communication skills, Computer science, Cubes, Data analysis, Data mining, Data warehouse, Database, Dimensional modeling, ETL, Engineering, Epic, Framework, MicroStrategy, Microsoft Power BI, Microsoft SSIS, Microsoft SSRS, OBIEE, OLAP, Problem solving, Reporting, SQL, Science, Specification, Technical writing, Troubleshooting, Unit testing"
Business+Intelligence+Developer,Sr. Business Intelligence Developer (100% Full Remote),"Agile, Business requirements, Consulting, DAX, Dashboard, Data integration, Data modeling, Data warehouse, Database, Microsoft Power BI, Microsoft SQL Server, Migration, PowerPivot, RDBMS, Reporting, Software development, Stored procedures, Transact-SQL, Transformation, Translation, Visualization, Upgrades"
Business+Intelligence+Developer,Business Intelligence Developer,"SSRS, SSIS, PowerBI"
Business+Intelligence+Developer,Data Warehouse and Business Intelligence Developer,Data Warehouse and Business Intelligence Developer
Business+Intelligence+Developer,Business Intelligence Developer/Tableau & SQL,"Business Intelligence, Developer, SQL, IT, ISO"
Business+Intelligence+Developer,MS Business Intelligence Developer,"Business intelligence, Data modeling, Data warehouse, Microsoft BI, Microsoft Power BI, Microsoft SSAS, Microsoft SSIS, Microsoft SSRS"
Business+Intelligence+Developer,Business intelligence Programmer,"html5, programmer, fusion charts"
Business+Intelligence+Developer,Business Intelligence Developer,
