"Sector","Size","All_skills"
"Accounting & Legal","Medium Small","analytics, aws, azure, big data, budget, computer science, data science, focus, machine learning, mathematics, modeling, optimization, programming, project, python, r, sas, scala, solid"
"Agriculture & Forestry","Small","automated, bi, dashboard, data analysis, database, mathematics, performance, power bi, presentation, python, r, requirements, sql , sql queries, statistics, support, tableau, automated, bi, dashboard, data analysis, database, mathematics, performance, power bi, presentation, python, r, requirements, sql , sql queries, statistics, support, tableau, apache, apis, automation, big data, cassandra, computer science, data science, design, documentation, engineering, framework, hadoop, hive, integration, java, kafka, machine learning, mysql, nosql, postgresql, programming, python, quality, rdbms, requirements, scala, solid, spark, sql , systems, tdd, technical, technology"
"Arts, Entertainment & Recreation","Large","analytics, apache, apache spark, automation, aws, big data, budget, ci, cross, data quality, end, engineering, etl, focus, hadoop, healthcare, integration, kanban, machine learning, mobile , next, nosql, performance, python, quality, rest, scalability, scrum, software development, solutions, spark, sql , systems, tdd, technical, training, analytics, apache, apache spark, automation, aws, big data, budget, ci, cross, data quality, end, engineering, etl, focus, hadoop, healthcare, integration, kanban, machine learning, mobile , next, nosql, performance, python, quality, rest, scalability, scrum, software development, solutions, spark, sql , systems, tdd, technical, training"
"Biotech & Pharmaceuticals","Medium Large","materials, monitoring, requirements, specification, technical, validation"
"Business Services","Large","ai, analytics, automotive, best practices, computer science, creativity, data science, design, end, engineering, evaluation, focus, healthcare, iterative, leadership, libraries, machine learning, management, mathematics, networks, performance, presentation, product development, programming, project, python, software development, solutions, sql , statistics, support, training, transformation, ux, video, analytics, aws, azure, best practices, c, computer science, creativity, cross, data science, database, design, engineering, focus, information security, java, kubernetes, leadership, machine learning, management, mathematics, performance, production, project, python, r, scala, security, software engineering, solutions, sql , stack, support, technical, training, ups, ux, video, workflow, ai, analytics, automotive, best practices, computer science, creativity, data science, design, end, engineering, evaluation, focus, healthcare, iterative, leadership, libraries, machine learning, management, mathematics, networks, performance, presentation, product development, programming, project, python, software development, solutions, sql , statistics, support, training, transformation, ux, video, analytics, aws, azure, best practices, c, computer science, creativity, cross, data science, database, design, engineering, focus, information security, java, kubernetes, leadership, machine learning, management, mathematics, performance, production, project, python, r, scala, security, software engineering, solutions, sql , stack, support, technical, training, ups, ux, video, workflow, acquisition, engineering, management, matlab, physics, programming, project, project management, python, requirements, strategy, support, training"
"Business Services","Medium Large","analytics, c, computer science, consulting, cross, distribution, documentation, management, presentation, project, regression, sql , sql queries, statistics, supervision, validation, analytics, bi, computer science, consulting, data analysis, documentation, excel, machine learning, management, performance, power bi, presentation, project, python, quality, r, regression, reporting, sas, solutions, sql , sql queries, supervision, tableau, visualization, analytics, computer science, data science, decision support, detail, engineering, machine learning, management, mathematics, mobile , performance, production, python, quality, r, requirements, risk assessment, solid, solutions, statistics, support, systems, technical, ups, analytics, c, computer science, consulting, cross, distribution, documentation, management, presentation, project, regression, sql , sql queries, statistics, supervision, validation, analytics, bi, computer science, consulting, data analysis, documentation, excel, machine learning, management, performance, power bi, presentation, project, python, quality, r, regression, reporting, sas, solutions, sql , sql queries, supervision, tableau, visualization"
"Business Services","Medium Small","best practices, computer science, continuous improvement, data science, data visualization, databases, design, engineering, libraries, machine learning, mathematics, performance, presentation, production, python, regression, solid, solutions, sql , sql queries, statistics, systems, technology, visualization, ai, analytics, business requirements, data analysis, data mining, data science, data visualization, etl, focus, hive, libraries, management, mysql, pmo, programming, python, r, requirements, sales, solutions, spark, sql , statistics, technology, teradata, transformation, visualization, big data, cassandra, computer science, databases, engineering, hbase, hive, java, machine learning, mathematics, mongodb, nosql, programming, python, r, regression, solid, specification, sql , statistics, technical, training, agile development, architecture, aws, best practices, data architecture, data structure, databases, design, etl, governance, json, management, nosql, performance, project, python, shell, software design, sql , switch,  architecture, systems, technical, technology, unix, analytics, big data, computer science, cross, data science, databases, engineering, java, machine learning, management, mathematics, programming, project, python, r, solid, solutions, statistics, systems, technology, training, automotive, business intelligence, data analysis, data collection, detail, excel, management, python, r, requirements, solid, sql , strategy, tableau, technical, agile development, automation, aws, azure, bi, database, debug, design, engineering, etl, machine learning, management, postgresql, product development, solid, solutions, sql , sql queries, switch, systems, technical, technology, administration, amazon web services, analytics, apache, apache spark, architecture, automated, aws, bi, big data, cassandra, consulting, data management, data quality, data warehouse, database, database design, databases, deployment, design, engineering, etl, exchange, financial services, hadoop, integration, java, linux, machine learning, management, microsoft sql server, modeling, mongodb, mysql, nosql, oracle, postgresql, programming, python, quality, reporting, retail, scala, server, solutions, spark, sql , statistics, support,  administration,  architecture, technology, web , agile development, analytics, articulate, automated, aws, azure, best practices, big data, data management, databases, delivery, design, end, etl, focus, hadoop, java, kubernetes, machine learning, management, nosql, performance, postgresql, production, python, quality, scalability, software design, solid, solutions, spark, sql , storage, storm, switch, systems, technical, technology, accounting, automation, data analysis, data management, ecommerce, excel, finance, management, migration, reporting, support, analytics, business intelligence, data analysis, data collection, data management, databases, excel, financial services, management, presentation, python, quality, r, requirements, risk management, sql , systems, technology, ai, architecture, computer science, cross, data science, design, engineering, java, libraries, machine learning, management, mathematics, operations, programming, project, python, solid, solutions, statistics,  architecture, systems, systems design, technical, technology, training, best practices, computer science, continuous improvement, data science, data visualization, databases, design, engineering, libraries, machine learning, mathematics, performance, presentation, production, python, regression, solid, solutions, sql , sql queries, statistics, systems, technology, visualization, ai, analytics, business requirements, data analysis, data mining, data science, data visualization, etl, focus, hive, libraries, management, mysql, pmo, programming, python, r, requirements, sales, solutions, spark, sql , statistics, technology, teradata, transformation, visualization, big data, cassandra, computer science, databases, engineering, hbase, hive, java, machine learning, mathematics, mongodb, nosql, programming, python, r, regression, solid, specification, sql , statistics, technical, training, analytics, business intelligence, data analysis, data collection, data management, databases, excel, financial services, management, presentation, python, quality, r, requirements, risk management, sql , systems, technology, administration, amazon web services, analytics, apache, apache spark, architecture, automated, aws, bi, big data, cassandra, consulting, data management, data quality, data warehouse, database, database design, databases, deployment, design, engineering, etl, exchange, financial services, hadoop, integration, java, linux, machine learning, management, microsoft sql server, modeling, mongodb, mysql, nosql, oracle, postgresql, programming, python, quality, reporting, retail, scala, server, solutions, spark, sql , statistics, support,  administration,  architecture, technology, web , agile development, analytics, articulate, automated, aws, azure, best practices, big data, data management, databases, delivery, design, end, etl, focus, hadoop, java, kubernetes, machine learning, management, nosql, performance, postgresql, production, python, quality, scalability, software design, solid, solutions, spark, sql , storage, storm, switch, systems, technical, technology, accounting, automation, data analysis, data management, ecommerce, excel, finance, management, migration, reporting, support, ai, architecture, computer science, cross, data science, design, engineering, java, libraries, machine learning, management, mathematics, operations, programming, project, python, solid, solutions, statistics,  architecture, systems, systems design, technical, technology, training, automotive, business intelligence, data analysis, data collection, detail, excel, management, python, r, requirements, solid, sql , strategy, tableau, technical"
"Business Services","Small","architecture, business objects, documentation, graphics, hadoop, pl, programming, python, r, reporting, server, solid, spark, sql ,  architecture, tableau, act, biology, consulting, data analysis, insurance, medical, quality, quality assurance, risk assessment, statistics, support, technical, visualization, act, consulting, insurance, leadership, medical, project, support, technical, act, consulting, engineering, insurance, medical, presentation, quality, support, technical, architecture, business objects, documentation, graphics, hadoop, pl, programming, python, r, reporting, server, solid, spark, sql ,  architecture, tableau, act, biology, consulting, data analysis, insurance, medical, quality, quality assurance, risk assessment, statistics, support, technical, visualization, act, consulting, insurance, leadership, medical, project, support, technical, act, consulting, engineering, insurance, medical, presentation, quality, support, technical"
"Data Analysis","Large","excel, network, word"
"Data Analysis","Medium Large","aws, bi, machine learning, management, organizational, performance, project, project management, python, solutions, spark, sql , tableau, asp, asp.net, automation, big data, c, data management, data science, data visualization, design, iot, java, machine learning, management, mysql, net, php, r, requirements, server, sql , statistics, visualization, web , data science, information technology, mathematics, presentation, technology, aws, bi, machine learning, management, organizational, performance, project, project management, python, solutions, spark, sql , tableau, data science, information technology, mathematics, presentation, technology"
"Data Analysis","Medium Small","ai, analytics, bi, business intelligence, collaboration, computer science, continuous improvement, dashboard, data science, design, engineering, insurance, integration, machine learning, management, medical, quality, reporting, requirements, technical, technology, analytics, engineering, metrics, next, requirements, sales, strategy, automated, big data, computer science, data mining, focus, java, management, metrics, production, python, quality, r, regression, sql , sql queries, statistics, systems, visualization, ai, architecture, business intelligence, cassandra, computer science, data collection, data warehouse, engineering, etl, hadoop, insurance, java, kafka, libraries, machine learning, maintenance, mathematics, modeling, mongodb, next, programming, python, quality, requirements, saas, solutions, spark,  architecture, systems, technology, analytics, automation, data mining, data science, machine learning, management, modeling, operations, presentation, requirements, strategy, technical, visualization, data analysis, data management, detail, information technology, management, process improvement, requirements, solutions, technical, technology, api, computer science, databases, design, requirements, analytics, business intelligence, data analysis, data warehouse, detail, management, mathematics, requirements, sql , technical, analytics, excel, leadership, microsoft excel, requirements, social media, analytics, economics, requirements, big data, requirements, sas, training, engineering, mathematics, mongodb, requirements, sql , big data, data warehouse, database, design, hardware, linux, maintenance, network, network security, nosql, open source, presentation, security, supervision, technology, ai, analytics, bi, business intelligence, collaboration, computer science, continuous improvement, dashboard, data science, design, engineering, insurance, integration, machine learning, management, medical, quality, reporting, requirements, technical, technology, analytics, engineering, metrics, next, requirements, sales, strategy, ai, architecture, business intelligence, cassandra, computer science, data collection, data warehouse, engineering, etl, hadoop, insurance, java, kafka, libraries, machine learning, maintenance, mathematics, modeling, mongodb, next, programming, python, quality, requirements, saas, solutions, spark,  architecture, systems, technology, big data, data warehouse, database, design, hardware, linux, maintenance, network, network security, nosql, open source, presentation, security, supervision, technology, big data, databases, engineering, information technology, java, python, requirements, software engineering, systems, technology, analytics, automation, data mining, data science, machine learning, management, modeling, operations, presentation, requirements, strategy, technical, visualization, engineering, mathematics, mongodb, requirements, sql , analytics, economics, requirements, analytics, excel, leadership, microsoft excel, requirements, social media, big data, requirements, sas, training, data analysis, data management, detail, information technology, management, process improvement, requirements, solutions, technical, technology"
