"Skill","Skill_time"
"java",33.7272727272727
"javascript",67.8
"it",NA
"security",38.7884615384615
"linux",35.96875
"python",51.1515151515151
"management",37.25
"development",35.7890625
"software",40.9328358208955
"oracle",20
"c#",NA
"systems",52.2263157894737
"html",59.6666666666667
"agile",17.0833333333333
"windows",41
"net",24.5
"database",29
"css",58
"unix",12
"architecture",25.5
"network",33.695652173913
"aws",12.75
"web",43.6710526315789
"analysis",35.8092783505155
"mysql",35
"cisco",NA
"jee",NA
"c\+\+",NA
"api",20.5
"system",40.2738095238095
"xml",NA
"qa",20
"jquery",28
"cissp",NA
"sql server",NA
"cloud",39.1578947368421
"aspnet",NA
"application",47.4305555555556
"hardware",36
"ip",15
"project management",33.0869565217391
"perl",NA
"hadoop",90
"wan",76
"sdlc",NA
"pl",NA
"tcp",NA
"excel",30.6785714285714
"lan",76
"c",40.7407407407407
"html.1",59.6666666666667
"etl",NA
"engineering",48.0416666666667
"devops",16.3333333333333
"git",10
"soap",NA
"http",69.5
"php",NA
"architect",NA
"ux",70.75
"angularjs",NA
"test",30.1428571428571
"vpn",76
"mvc",NA
"jenkins",25
"web services",NA
"rest",23.0714285714286
"ajax",NA
"business intelligence",28.25
"scrum",11.4285714285714
"azure",NA
"nosql",28
"scripts",19.1875
"engineers",45.7692307692308
"ccna",NA
"hibernate",NA
"software development",26.0769230769231
"data warehouse",NA
"risk management",20
"applications",54.25
"quality",32.6833333333333
"help desk",NA
"apache",90
"dba",NA
"firewall",NA
"angular",178.5
"big data",42.3181818181818
"ruby",NA
"spark",56
"ccnp",NA
"json",28
"automation",24
"vmware",NA
"data analysis",26.32
"bash",NA
"project",37.4347826086956
"asp",NA
"access",49.5576923076923
"css.1",58
"powerpoint",21
"ui",91
"active directory",NA
"erp",NA
"amazon web services",NA
"communication",31.4390243902439
"customer service",18
"ssis",NA
"computer",48.5461538461538
"switches",55.75
"networks",33.2058823529412
"wireless",10
"pmp",13.2142857142857
"infrastructure",30.1666666666667
"desktop",48
"ssrs",NA
"routers",NA
"release",30
"puppet",NA
"scala",NA
"business requirements",49
"performance",36.8
"automated",100
"sas",NA
"jira",NA
"mongodb",28
"sap",NA
"protocols",24.1666666666667
"informatica",33
"jsp",NA
"sales",46.8333333333333
"bootstrap",29.6666666666667
"tableau",NA
"adobe",36.8333333333333
"analytical",41.5357142857143
"dns",NA
"computer science",42.4074074074074
"lifecycle",17.5
"microsoft sql server",NA
"nodejs",NA
"chef",32
"android",54.5
"db",NA
"selenium",NA
"microservices",12
"technical support",NA
"design",46.1324786324786
"iso",NA
"pc",NA
"firewalls",NA
"hive",NA
"ios",72
"soa",NA
"algorithms",57.5540540540541
"crm",24
"information security",33.75
"leadership",29.1486486486486
"technician",NA
"automotive",90.5
"documentation",14.6666666666667
"iis",NA
"react",19.25
"cyber security",NA
"implementation",38.1136363636364
"kafka",NA
"t",26.7051282051282
"jdbc",NA
"video",37.7727272727273
"core java",NA
"data architecture",NA
"integration",34.125
"oop",42.5
"restful",28
"wcf",NA
"angular js",NA
"ansible",NA
"testing",33.175
"configuration",21
"exchange",33.5909090909091
"metrics",34.6
"postgresql",NA
"ms office",28
"powershell",NA
"foundation",38.1290322580645
"disaster recovery",NA
"network security",76
"change management",21
"cassandra",NA
"compliance",59.875
"quality assurance",27.8333333333333
"supervision",31.5
"voip",NA
"ccie",NA
"continuous integration",NA
"desktop support",NA
"saas",40.5
"data management",108
"kubernetes",15
"ibm",32.7727272727273
"maven",NA
"outlook",30
"analytics",49.65625
"bi",43.75
"healthcare",33.0294117647059
"research",38.3711340206186
"configuration management",NA
"embedded",50.6
"middleware",NA
