job_title,required_skills
information security engineer,"linux, unix, incident response, systems administration, security accessment"
business solutions architect,"enterprise solutions architecture, business inteligence, reports"
devops engineer,"configuration management, linux, management, vmware"
sap fico architect,"fico, ar, ap, asset management, haha"
network engineer,"cisco, dns, http, network engineer, security, video, vpn, wireless"
web application developer,".net , c#, mvc, restful web services, http, aws, azure, oop"
front end developer,"c++, development, javascript, user interface"
openstack engineer,openstack
9001 data security administrator,"unix, iam, scripting knowledge, oim, windows, linux"
software engineer manager,"java, oss"
sales engineer,"project, sales"
project manager,mobile device
test lead ,qa
principal application analyst,lawson supply chain
messaging administrator,"desktop, hardware, network, software, systems, windows"
it business analyst,"analysis, application, business requirements, excel, it, powerpoint"
systems test engineer,"load, fix.fast, c, c++, java, windows, linux"
it quality consultant,"agile, case, defect management, management, project management"
usb validation engineer,"matlab, labview"
product manager,"policy, build processes, create the incentives , stakeholders, data analysts, our merchants cross, , sellers, authors, , ebook"
ui developer,"angular.js, react, node.js, javascript"
1001 selenium automation testing,selenium testing automation
software storage engineer,"c , c++, linux, unix"
lead mobile product manager,"android, mobile"
4709317 project planner,"primavera 6.0, ms project stadard, eit, construction, pharma or biotech"
business systems analyst,"ai, maya, browzwear, 3d"
lead java engineer,"java , java ee, jsf, struts, hibernate"
project coordinator ii,"database, lifecycle, management, metrics, pmp, sales, salesforce, telecommunications"
software developer,".net , c#, sql"
mobile automation tester,"manual , desktop applications, consumer electronics devices, websites"
informatica admin,"informatica admin, oracle, sql"
software development engineer,"supports personalization , books, movies, fashion, implement predictive, prime video views, prime music streams, software engineering , strong coding experience, preferably with scala, python, java, or c++. , algorithms. , non, technical terms. , data driven development, researchers. , spark, redshift, dynamodb, kinesis, experience with supervised , recommender systems. , experience running , evaluating ab tests."
business data analyst,"analysis, business analyst, data analysis, development, excel, outlook, powerpoint, sql, supervision"
java developer,"looking for two, to, spring framework , pci, shopping carts, payment gateways, catalogs"
geolocation engineer,"especially c, c++"
director of product development,procedures
net developer,".net, tfs, web services, wcf, jquery, ajax, javascript, vb, vb script, xml, xsl, css, architectural design patterns"
ui developer,"angular.js, react, node.js, javascript"
web developer,"html, javascript, css, ajax"
full stack developer,".net, algorithms, javascript, linux, ood, oop, systems, windows"
jr business analysts,"business analyst, business requirements, development, lifecycle, management, ms office, testing"
java full stack engineer,"angular js, java, j2ee, spring , hibernate"
software engineer,"algorithm engineer , computer vision, open cv , algorithm r&d experiences"
javascript developer,"node.js, javascript"
project coordinator,"procurement, budget"
service delivery systems administrator,"system engineer, python, shell, perl, bash, linux, unix, rhel, centos, perforce, jenkins, maven, continuous integration"
oracle business systems analyst,"oracle r12 e, business, asset management, projects, ame, workflow etc."
linux engineer,"application, c++, development, engineering, j2ee, java, linux, network, python, shell script, software, system"
product manager,"judgment, intense curiosity, excellent analytical abilities, strong technical"
infrastructure production developer,"hardware, java, linux, python, software, systems"
c#net client,"c#, sql, stored procedures, .net, tcp, ip, multithreadin"
software infrastructure c++ developer,"algorithms, c++, development, javascript, libraries, linux, network, performance, perl, protocols, python, software, system, systems, tcp, ip, unix"
account manager,"business development, sales"
quality assurance test analyst,"applications, database, development, excel, java, management, project, project management, quality, quality assurance, scripts, software, sql, supervision, test, vb, web"
devops engineer,"chef, jenkins"
capacity planning engineer,"ip video delivery, content delivery networks, linux system admin"
procurement system manager,saas solution coupa
information risk management analyst,"cissp, cism, cisa"
software development engineer,"java , c, c++"
account coordinator ii,"lifecycle, management, project management, sales, salesforce, telecommunications"
technical lead supply chain,"software, retail, dem, system, analysis, design, supply chain, applications development, websphere, weblogic, oracle, db2, sql server, unix, aix, windows, mainframe"
business analyst,"mortgage, black belt"
information technology architect,"analysis, architecture, business requirements, citrix, css, development, exchange, html, http, iis, java, linux, management, oracle, sql, vmware, websphere, windows"
swift messaging specialist,"css, html, http"
 web developer w,"architecture, css, development, html, http, ibm, j2ee, java, jquery, middleware, nosql, security, soap, solr, ssl, websphere, xml"
san storage engineer,"access, brocade, engineer, hardware, it, management, switches, systems, telecom, unix, windows"
application programmer,"access, aml, application, business requirements, developer, development, it, java, management, oracle, software, telecom, unix, web, websphere"
full stack developer,"access, apache, applications, consulting, development, it, sdlc, software, systems, telecom, user interface"
technology manager of analytics,"agile, css, html, http, python"
exhaust processor  3rd shift,"tad pgs, reliable "
systems engineer,written communication
 visual support tech,"contract independent, contract w2"
auditor analyst,"sox, sarbanes oxley, sarbanes, audit, finance, internal control, compliance, control"
business analyst,"digital analytics, google, adobe, tableau, sql"
java developer,"access, analysis, analytical, analytical"
project manager,"access, analytical, consulting, development, it, management, project management, telecom"
cyber combat targeteer,"tad pgs, reliable "
 qa tester,"agile, analysis, automated, css, development, excel, html, http, middleware, ms office, powerpoint, qa, rational, scripts, scrum, sql, testing"
business analyst,pci
sustaining engineer iii,"tad pgs, reliable "
treasury associate,"access, analytical, analytical"
net architect ,".net, access, application, applications, architect, architecture, change management, customer service, development, it, management, performance, quality, re, engineering, software, sql, sql server, systems, telecom"
service technicians,"css, html, http"
reporting analyst,"access, analysis, analytical, analytical"
business development manager,"analysis, crm, development, manager, management, sales"
it project manager,"full time, full time"
application architect,"access, analysis, analytical, api, application, applications, architect, architecture, development, it, micro, qa, security, software, telecom, web"
director of is,"director of is, infrastructure, network, best practices, it policy , procedures, performace management, pmp"
java developer,"contract corp, to, corp, contract w2, full time"
business analyst,"access, analysis, application, consulting, it, management, oracle, system, telecom"
project manager,"access, analytical, application, applications, consulting, development, it, management, project manager, software, supervision, system, systems, telecom"
 data scientist,"big data, java"
computer systems software engineer,"tad pgs, reliable "
agile developer,"tad pgs, reliable "
testing technical specialist,"agile, css, development, html, http, java, management, project management, qa, testing, web design"
manufacturing engineer ii,"tad pgs, reliable "
full stack java developer,analytical
system engineer,"tad pgs, reliable "
electronic clasoom system administrator,"tad pgs, reliable "
tech support engineer,"alm, c++, c#, java, vb.net, customer support, sql, visual studio, html5, development support"
java engineer,"agile, analysis, apache, automated, css, development, git, html, http, j2ee, java, javascript, jquery, management, matlab, python, scrum, security, soap, web server"
embedded software engineer,"tad pgs, reliable "
front office developer,"agile, analysis, architecture, css, database, development, excel, html, http, javascript, jquery, management, oracle, protocol, sales, scrum, sdlc, sql, vba"
sharepoint administrator,"css, html, http, sql"
android developers,"algorithms, analysis, android, development, ios, management, scrum, security, tdd, ux"
java developer,"apache, business requirements, css, development, hadoop, html, http, java, javascript, jquery, linux, management, os x, scrum, security, solr, supervision, windows, windows 7"
program scheduler v,"tad pgs, reliable "
sales support analyst,"tad pgs, reliable "
ux designer,"css, development, html, http, javascript, management, ux"
java application architect,"h, java architect"
business analyst,business analyst healthcare
oracle ebusiness programmer,full time
network administrator,"cisco ucs, vmware, citrix, windows"
rf network engineer,"tad pgs, reliable "
data analyst,"property , casualty insurance experience , data analytics"
cloud orchestration and automation,"architecture, css, excel, html, http, microsoft word, ms office, powerpoint"
mechanical engineer,"tad pgs, reliable "
adabas developer,"adabas, analysis, business requirements, development, jcl, project, quality assurance, release, scripts, sdlc, sql, sql server, supervision"
