job_title,required_skills
security engineer,"linux, unix, incident response, systems administration, security accessment"
solutions architect,"enterprise solutions architecture, business inteligence, reports"
devops engineer,"configuration management, linux, management, vmware"
data architect,"fico, ar, ap, asset management, haha"
network engineer,"cisco, dns, http, security, video, vpn, wireless"
hadoop developer,".net , c#, mvc, restful web services, http, aws, azure, oop"
business intelligence developer,"c++, development, javascript, user interface"
information assurance engineer,openstack
security administrator,"unix, iam, scripting knowledge, oim, windows, linux"
software engineer,"java, oss"
network security engineer,sales
it project manager,mobile device
data migration lead,qa
application analyst,lawson supply chain
gis administrator,"desktop, hardware, network, software, systems, windows"
business analyst,"analysis, application, business requirements, excel, it, powerpoint"
systems engineer,"load, fix.fast, c, c++, java, windows, linux"
it auditor,"agile, case, defect management, management, project management"
security incident response engineer,"matlab, labview"
software product manager,"policy, build processes, create the incentives , stakeholders, data analysts, our merchants cross, sellers, authors, ebook"
ios developer,"angular.js, react, node.js, javascript"
software testing jobs,selenium testing automation
software engineer,"c , c++, linux, unix"
data manager,"roid, mobile"
network planner,"primavera 6.0, ms project stadard, eit, construction, pharma or biotech"
business systems analyst,"ai, maya, browzwear, 3d"
information assurance engineer,"java , java ee, jsf, struts, hibernate"
it project coordinator,"database, lifecycle, management, metrics, pmp, sales, salesforce, telecommunications"
business intelligence developer,".net , c#, sql"
game tester,"manual , consumer electronics devices, websites"
vp informatics,"informatica admin, oracle, sql"
software development manager,"supports personalization , books, movies, fashion, implement predictive, prime video views, prime music streams, software engineering , preferably with scala, python, java, algorithms. , data driven development, spark, redshift, dynamodb, kinesis, evaluating ab tests."
business analyst,"analysis, data analysis, development, excel, outlook, powerpoint, sql, supervision"
clinical systems analyst,monitor or monitoring  
java developer,"spring framework , pci, shopping carts, payment gateways, catalogs"
information assurance engineer,"especially c, c++"
director data,procedures
net developer,".net, tfs, web services, wcf, jquery, ajax, javascript, vb, vb script, xml, xsl, css, architectural design patterns"
web developer,"html, javascript, css, ajax"
business intelligence developer,".net, algorithms, javascript, linux, ood, oop, systems, windows"
business analyst,"business requirements, development, lifecycle, management, ms office"
network engineer,"angular js, java, j2ee, spring , hibernate"
software engineer,"algorithm engineer , computer vision, open cv , algorithm r&d experiences"
javascript developer,"node.js, javascript"
it project coordinator,"procurement, budget"
systems administrator,"python, shell, perl, bash, linux, unix, rhel, centos, perforce, jenkins, maven, continuous integration"
business systems analyst,"oracle r12 e, business, asset management, projects, ame, workflow etc."
network security engineer,"application, c++, development, j2ee, java, linux, network, python, shell script, software, system"
software product manager,"idate has outst, ing business acumen , judgment, intense curiosity, excellent analytical abilities, strong technical"
hadoop developer,"hardware, java, linux, python, software, systems"
client server programmer,"c#, sql, stored procedures, .net, tcp, ip, multithreadin"
hadoop developer,"algorithms, c++, development, javascript, libraries, linux, network, performance, perl, protocols, python, software, system, systems, tcp, ip, unix"
business intelligence manager,"business development, sales"
technical support specialist,"st, visio"
master data analyst,"applications, database, development, excel, java, management, project management, quality, quality assurance, scripts, software, sql, supervision, test, vb, web"
devops engineer,"chef, jenkins"
big data engineer,"ip video delivery, content delivery networks, linux system admin"
systems manager,saas solution coupa
master data analyst,"cissp, cism, cisa"
software development manager,"java , c, c++"
gis coordinator,"lifecycle, management, project management, sales, salesforce, telecommunications"
technical manager,"software, retail, dem, system, analysis, design, supply chain, applications development, websphere, weblogic, oracle, db2, sql server, unix, aix, windows, mainframe"
business analyst,"mortgage, black belt"
vp information technology,"analysis, architecture, business requirements, citrix, css, development, exchange, html, http, iis, java, linux, management, oracle, sql, vmware, websphere, windows"
emr specialist,"css, html, http"
web developer,"architecture, css, development, html, http, ibm, j2ee, java, jquery, middleware, nosql, security, soap, solr, ssl, websphere, xml"
