search_title,similar_titles,similar_skills
Accounting+Systems+Analyst,"[Accounting Manager, Accountant, Tax Manager, Audit Manager, Financial Analyst, Finance Manager, Auditor, Accounts Payable, Director, Financial Consultant]","[Bookkeeping, Finance, General journal, General Ledger, Financial statements]"
AIX+Administrator,"[AIX Administrator, Server Administrator, Middleware Administrator, BPM Developer, Linux Administrator, Linux System Administrator, Content Manager, Case Manager, Contract Administrator, WebSphere Administrator]","[AIX Administrator, IBM AIX, IBM PowerHA, VIO, LVM]"
Analytic+Programmer,"[Software Development, Software Development Manager, Director Software Development, Software Development Lead, Software Development Project Manager, Developer III, Developer II, Developer I, Software Sales, Director]","[Software engineering, Software design, Software architecture, SDLC, Computer science]"
Analytics+Jobs,"[Analytics Manager, Data Scientist, Web Analyst, Digital Marketing, BI Analyst, Data Analyst, BI Manager, Marketing Analyst, Director, Data Engineer]","[Data analysis, Dashboard, Tableau, Strategy, Web analytics]"
Android+Developer,"[Android Developer, Software Development, Software Development Manager, Business Development Manager, Development Manager, Business Development, Mobile Developer, Development Lead, Mobile Application Developer, Director Software Development]","[Mobile development, Kotlin, Eclipse, Java, C++]"
Application+Analyst,"[Application Analyst, Software Architect, Software Systems Engineer, Software Development Manager, Software Sales, Software Quality Engineer, Director Software Development, Software Development Lead, Software Development, Software Development Project Manager]","[Reliability analysis, CPOE, Soarian, BSI Tax Factory, eGate]"
Application+Coordinator,"[Software Architect, Software Systems Engineer, Software Development Manager, Software Sales, Software Quality Engineer, Director Software Development, Software Development Lead, Software Development, Software Development Project Manager, Asset Manager]","[Business requirements, Email, QA, Leadership, Software development]"
Application+Jobs,"[Software Architect, Software Systems Engineer, Software Development Manager, Software Sales, Software Quality Engineer, Director Software Development, Software Development Lead, Software Development, Software Development Project Manager, Asset Manager]","[Business requirements, Email, QA, Leadership, Software development]"
Application+Manager,"[Application Manager, Software Architect, Software Development Manager, Software Systems Engineer, Software Sales, Software Quality Engineer, Management Consultant, Management Analyst, Director Software Development, Software Development Lead]","[Application Manager, Mobile Software Manager, Software development management, Software Manager, Staff augmentation]"
Application+Support+Analyst,"[Desktop Support Analyst, Desktop Support, Technical Support Analyst, Application Support Analyst, Support Analyst, Technical Support, Technical Support Engineer, Desktop Support Technician, PC Technician, Application Support]","[Service desk, Help desk, 1st Line Support, 2nd Line Support, Remote support]"
Application+Support+Manager,"[Desktop Support Analyst, Desktop Support, Technical Support Analyst, Application Support Analyst, Support Analyst, Technical Support, Technical Support Engineer, Desktop Support Technician, PC Technician, Application Support]","[Service desk, Help desk, 1st Line Support, 2nd Line Support, Remote support]"
Applications+Scientist,"[Scientist, Application Specialist, IT Specialist, Data Scientist, Computer Vision Engineer, Technology Analyst, UX Researcher, System Engineer III, Machine Learning Engineer, Intelligence Analyst]","[Scientist, Engineering, Mathematics, Research, Research Scientist]"
ASPNet+Developer,"[ASP.NET Developer, .Net Developer, C# Developer, Full Stack .Net Developer, .Net Web Developer, .Net Application Developer, Lead .Net Developer, Web Application Developer, Web Developer, .Net Architect]","[.NET, C#, ASP.NET MVC, WCF, Visual Basic .NET]"
Automation+Application+Engineer,"[Software Development, Software Development Manager, Director Software Development, Software Development Lead, Software Development Project Manager, Developer III, Developer I, Developer II, Software Sales, Director]","[Software development, Computer science, Software architecture, OOD, OOP]"
Backend+Developer,"[Backend Developer, Java Backend Developer, Software Development, Software Development Manager, Business Development Manager, Development Manager, Business Development, Director Software Development, Development Lead, Software Development Lead]","[Node.js, JavaScript, AngularJS, CSS, jQuery]"
Backend+Java+Developer,"[Java Developer, Core Java Developer, Java Architect, Full Stack Java Developer, Lead Java Developer, Java Lead, Java Backend Developer, Java Technical Lead, Java UI Developer, Java Web Developer]","[J2EE, Hibernate, Spring, Spring MVC, Java Servlets]"
